WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0305,03,05,MAY,5,"28,29"
0305,03,05,JULY,7,"10,13"
0305,03,05,AUGUST,8,"21,24"
0305,03,05,OCTOBER,10,"5,6"
0305,03,05,NOVEMBER,11,"18,19"
0306,03,06,JUNE,6,"1,2"
0306,03,06,JULY,7,"14,15"
0306,03,06,AUGUST,8,"25,26"
0306,03,06,OCTOBER,10,"7,8"
0306,03,06,NOVEMBER,11,20
0307,03,07,JUNE,6,"3,4"
0307,03,07,JULY,7,"16,17"
0307,03,07,AUGUST,8,"27,28"
0307,03,07,OCTOBER,10,"9,13"
0307,03,07,NOVEMBER,11,"24,25"
0308,03,08,JUNE,6,"5,8"
0308,03,08,JULY,7,"20,21"
0308,03,08,AUGUST,8,31
0308,03,08,SEPTEMBER,9,1
0308,03,08,OCTOBER,10,"14,15"
0309,03,09,JUNE,6,"9,10"
0309,03,09,JULY,7,"22,23"
0309,03,09,SEPTEMBER,9,"2,3"
0309,03,09,OCTOBER,10,"16,19"
0310,03,10,JUNE,6,"11,12"
0310,03,10,JULY,7,"24,27"
0310,03,10,SEPTEMBER,9,"4,8"
0310,03,10,OCTOBER,10,"20,21"
0311,03,11,JUNE,6,"15,16"
0311,03,11,JULY,7,"28,29"
0311,03,11,SEPTEMBER,9,"9,10"
0311,03,11,OCTOBER,10,"23,26"
0312,03,12,JUNE,6,"17,18"
0312,03,12,JULY,7,"30,31"
0312,03,12,SEPTEMBER,9,"11,14"
0312,03,12,OCTOBER,10,"27,28"
0313,03,13,JUNE,6,"23,24"
0313,03,13,AUGUST,8,"3,4"
0313,03,13,SEPTEMBER,9,"15,16"
0313,03,13,OCTOBER,10,"29,30"
0314,03,14,JUNE,6,"23,24"
0314,03,14,AUGUST,8,"5,6"
0314,03,14,SEPTEMBER,9,"17,18"
0314,03,14,NOVEMBER,11,"2,3"
0315,03,15,JUNE,6,"25,26"
0315,03,15,AUGUST,8,"7,10"
0315,03,15,SEPTEMBER,9,"21,22"
0315,03,15,OCTOBER,10,"4,5"
0401,04,01,MAY,5,"18,19"
0401,04,01,AUGUST,8,"18,19"
0401,04,01,OCTOBER,10,"1,2"
0401,04,01,NOVEMBER,11,"17,18"
0402,04,02,MAY,5,"20,21"
0402,04,02,JULY,7,"9,10"
0402,04,02,AUGUST,8,"20,21"
0402,04,02,OCTOBER,10,"5,6"
0402,04,02,NOVEMBER,11,"19,20"
0403,04,03,MAY,5,"27,28"
0403,04,03,JULY,7,"13,14"
0403,04,03,AUGUST,8,"24,25"
0403,04,03,OCTOBER,10,"7,8"
0404,04,04,MAY,5,29
0404,04,04,JULY,7,"15,16"
0404,04,04,AUGUST,8,"26,27"
0404,04,04,OCTOBER,10,"14,15"
0405,04,05,JUNE,6,"2,3"
0405,04,05,JULY,7,"17,20"
0405,04,05,AUGUST,8,"28,31"
0405,04,05,OCTOBER,10,"16,19"
0406,04,06,JUNE,6,"4,5"
0406,04,06,JULY,7,"21,22"
0406,04,06,SEPTEMBER,9,"1,2"
0406,04,06,OCTOBER,10,"20,21"
0407,04,07,JUNE,6,"8,9"
0407,04,07,JULY,7,"23,24"
0407,04,07,SEPTEMBER,9,"3,4"
0407,04,07,OCTOBER,10,"22,23"
0408,04,08,JUNE,6,"10,11"
0408,04,08,JULY,7,"27,28"
0408,04,08,SEPTEMBER,9,"9,10"
0408,04,08,OCTOBER,10,"26,27"
0409,04,09,JUNE,6,"12,15"
0409,04,09,JULY,7,"29,30"
0409,04,09,SEPTEMBER,9,"11,14"
0409,04,09,OCTOBER,10,"28,29"
0410,04,10,JUNE,6,"16,17"
0410,04,10,JULY,7,31
0410,04,10,AUGUST,8,3
0410,04,10,SEPTEMBER,9,"15,16"
0410,04,10,OCTOBER,10,30
0410,04,10,NOVEMBER,11,2
0411,04,11,JUNE,6,"18,19"
0411,04,11,AUGUST,8,"4,5"
0411,04,11,SEPTEMBER,9,"17,18"
0411,04,11,NOVEMBER,11,"3,4"
0412,04,12,JUNE,6,"22,23"
0412,04,12,AUGUST,8,"6,7"
0412,04,12,SEPTEMBER,9,"21,22"
0412,04,12,NOVEMBER,11,"5,6"
0413,04,13,JUNE,6,"24,25"
0413,04,13,AUGUST,8,"10,11"
0413,04,13,SEPTEMBER,9,"23,24"
0413,04,13,NOVEMBER,11,"9,10"
0414,04,14,JUNE,6,"26,29"
0414,04,14,AUGUST,8,"12,13"
0414,04,14,SEPTEMBER,9,"25,28"
0414,04,14,NOVEMBER,11,"11,12"
0415,04,15,JUNE,6,30
0415,04,15,JULY,7,1
0415,04,15,AUGUST,8,"14,17"
0415,04,15,SEPTEMBER,9,"29,30"
0415,04,15,NOVEMBER,11,"13,16"
0501,05,01,JUNE,6,"16,17"
0501,05,01,JULY,7,"24,27"
0501,05,01,AUGUST,8,31
0501,05,01,SEPTEMBER,9,1
0501,05,01,OCTOBER,10,"8,9"
0501,05,01,NOVEMBER,11,"17,18"
0502,05,02,JUNE,6,"18,19"
0502,05,02,SEPTEMBER,9,"2,3"
0502,05,02,OCTOBER,10,"14,15"
0502,05,02,NOVEMBER,11,"19,20"
0503,05,03,JUNE,6,"22,23"
0503,05,03,JULY,7,"30,31"
0503,05,03,SEPTEMBER,9,"4,9"
0503,05,03,OCTOBER,10,"16,19"
0504,05,04,MAY,5,"15,18"
0504,05,04,JUNE,6,"24,25"
0504,05,04,AUGUST,8,"3,4"
0504,05,04,SEPTEMBER,9,"10,11"
0504,05,04,OCTOBER,10,"20,21"
0504,05,04,NOVEMBER,11,"25,27"
0505,05,05,MAY,5,"19,20"
0505,05,05,JUNE,6,"26,29"
0505,05,05,AUGUST,8,"5,6"
0505,05,05,SEPTEMBER,9,"14,15"
0505,05,05,OCTOBER,10,"22,23"
0506,05,06,MAY,5,"21,22"
0506,05,06,JUNE,6,30
0506,05,06,JULY,7,1
0506,05,06,AUGUST,8,"7,10"
0506,05,06,SEPTEMBER,9,"16,17"
0506,05,06,OCTOBER,10,"26,27"
0507,05,07,MAY,5,"27,28"
0507,05,07,JULY,7,"2,7"
0507,05,07,AUGUST,8,"11,12"
0507,05,07,SEPTEMBER,9,"18,21"
0507,05,07,OCTOBER,10,"28,29"
0508,05,08,MAY,5,29
0508,05,08,JUNE,6,1
0508,05,08,JULY,7,"8,9"
0508,05,08,AUGUST,8,"13,14"
0508,05,08,SEPTEMBER,9,"22,23"
0508,05,08,OCTOBER,10,30
0508,05,08,NOVEMBER,11,2
0509,05,09,JUNE,6,"2,3"
0509,05,09,JULY,7,"10,13"
0509,05,09,AUGUST,8,"17,18"
0509,05,09,SEPTEMBER,9,"24,25"
0509,05,09,NOVEMBER,11,"3,4"
0510,05,10,JUNE,6,"4,5"
0510,05,10,JULY,7,"14,15"
0510,05,10,AUGUST,8,"19,20"
0510,05,10,SEPTEMBER,9,"28,29"
0510,05,10,NOVEMBER,11,"5,6"
0511,05,11,JUNE,6,"8,9"
0511,05,11,JULY,7,"16,17"
0511,05,11,AUGUST,8,"21,24"
0511,05,11,SEPTEMBER,9,30
0511,05,11,OCTOBER,10,1
0511,05,11,NOVEMBER,11,"9,10"
0512,05,12,JUNE,6,"10,11"
0512,05,12,JULY,7,"20,21"
0512,05,12,AUGUST,8,"25,26"
0512,05,12,OCTOBER,10,"2,5"
0512,05,12,NOVEMBER,11,"11,12"
0513,05,13,JUNE,6,"12,15"
0513,05,13,JULY,7,"22,23"
0513,05,13,AUGUST,8,"27,28"
0513,05,13,OCTOBER,10,"6,7"
0513,05,13,NOVEMBER,11,"13,16"
0601,06,01,MAY,5,18
0601,06,01,JUNE,6,"25,26"
0601,06,01,AUGUST,8,"7,10"
0601,06,01,SEPTEMBER,9,"17,18"
0601,06,01,OCTOBER,10,"28,29"
0602,06,02,MAY,5,"19,20"
0602,06,02,JUNE,6,"29,30"
0602,06,02,JULY,7,"1,2"
0602,06,02,AUGUST,8,"11,12"
0602,06,02,SEPTEMBER,9,"21,22"
0602,06,02,OCTOBER,10,30
0602,06,02,NOVEMBER,11,2
0603,06,03,MAY,5,"21,22"
0603,06,03,JULY,7,"6,7"
0603,06,03,AUGUST,8,"13,14"
0603,06,03,SEPTEMBER,9,"23,24"
0603,06,03,NOVEMBER,11,"3,4"
0604,06,04,MAY,5,"26,27"
0604,06,04,JULY,7,"8,9"
0604,06,04,AUGUST,8,"17,18"
0604,06,04,SEPTEMBER,9,"25,28"
0604,06,04,NOVEMBER,11,"5,6"
0605,06,05,MAY,5,"28,29"
0605,06,05,JULY,7,"10,13"
0605,06,05,AUGUST,8,"19,20"
0605,06,05,SEPTEMBER,9,"29,30"
0605,06,05,NOVEMBER,11,"9,10"
0606,06,06,JUNE,6,"1,2"
0606,06,06,JULY,7,"14,15"
0606,06,06,AUGUST,8,"21,24"
0606,06,06,OCTOBER,10,"1,2"
0606,06,06,NOVEMBER,11,"11,12"
0607,06,07,JUNE,6,"3,4"
0607,06,07,JULY,7,"16,17"
0607,06,07,AUGUST,8,"25,26"
0607,06,07,OCTOBER,10,"5,6"
0607,06,07,NOVEMBER,11,"13,16"
0608,06,08,JUNE,6,"5,8"
0608,06,08,JULY,7,"20,21"
0608,06,08,AUGUST,8,"27,28"
0608,06,08,OCTOBER,10,"7,8"
0608,06,08,NOVEMBER,11,"17,18"
0609,06,09,JUNE,6,"9,10"
0609,06,09,JULY,7,"22,23"
0609,06,09,AUGUST,8,31
0609,06,09,SEPTEMBER,9,1
0609,06,09,OCTOBER,10,"9,13"
0609,06,09,NOVEMBER,11,"19,20"
0610,06,10,JUNE,6,"11,12"
0610,06,10,JULY,7,"24,27"
0610,06,10,SEPTEMBER,9,"2,3"
0610,06,10,OCTOBER,10,"14,15"
0611,06,11,JUNE,6,"15,16"
0611,06,11,JULY,7,"28,29"
0611,06,11,SEPTEMBER,9,"4,8"
0611,06,11,OCTOBER,10,"16,19"
0612,06,12,JUNE,6,"17,18"
0612,06,12,JULY,7,"30,31"
0612,06,12,SEPTEMBER,9,"9,10"
0612,06,12,OCTOBER,10,"20,21"
0613,06,13,JUNE,6,"19,22"
0613,06,13,AUGUST,8,"3,4"
0613,06,13,SEPTEMBER,9,"11,14"
0613,06,13,OCTOBER,10,"22,23"
0614,06,14,JUNE,6,"23,24"
0614,06,14,AUGUST,8,"5,6"
0614,06,14,SEPTEMBER,9,"15,16"
0614,06,14,OCTOBER,10,"26,27"
0701,07,01,JUNE,6,"19,22"
0701,07,01,AUGUST,8,"5,6"
0701,07,01,SEPTEMBER,9,"21,22"
0701,07,01,NOVEMBER,11,"5,6"
0702,07,02,JUNE,6,"23,24"
0702,07,02,AUGUST,8,"7,10"
0702,07,02,SEPTEMBER,9,"23,24"
0702,07,02,NOVEMBER,11,"9,10"
0703,07,03,JUNE,6,"25,26"
0703,07,03,AUGUST,8,"11,12"
0703,07,03,SEPTEMBER,9,"25,28"
0703,07,03,NOVEMBER,11,"11,12"
0704,07,04,JUNE,6,"29,30"
0704,07,04,AUGUST,8,"13,14"
0704,07,04,SEPTEMBER,9,"29,30"
0704,07,04,NOVEMBER,11,"13,16"
0705,07,05,MAY,5,18
0705,07,05,JULY,7,"1,2"
0705,07,05,AUGUST,8,"17,18"
0705,07,05,OCTOBER,10,"1,2"
0705,07,05,NOVEMBER,11,"17,18"
0706,07,06,MAY,5,"19,20"
0706,07,06,JULY,7,"6,7"
0706,07,06,AUGUST,8,"19,20"
0706,07,06,OCTOBER,10,"5,6"
0706,07,06,NOVEMBER,11,"19,20"
0707,07,07,MAY,5,"21,22"
0707,07,07,JULY,7,"8,9"
0707,07,07,AUGUST,8,"21,24"
0707,07,07,OCTOBER,10,"7,8"
0708,07,08,MAY,5,"26,27"
0708,07,08,JULY,7,"10,13"
0708,07,08,AUGUST,8,"25,26"
0708,07,08,OCTOBER,10,"9,13"
0709,07,09,MAY,5,"28,29"
0709,07,09,JULY,7,"14,15"
0709,07,09,AUGUST,8,"27,28"
0709,07,09,OCTOBER,10,"14,15"
0710,07,10,JUNE,6,"1,2"
0710,07,10,JULY,7,"16,17"
0710,07,10,AUGUST,8,31
0710,07,10,SEPTEMBER,9,1
0710,07,10,OCTOBER,10,"16,19"
0711,07,11,JUNE,6,"3,4"
0711,07,11,JULY,7,"20,21"
0711,07,11,SEPTEMBER,9,"2,3"
0711,07,11,OCTOBER,10,"20,21"
0712,07,12,JUNE,6,"5,8"
0712,07,12,JULY,7,"22,23"
0712,07,12,SEPTEMBER,9,"4,8"
0712,07,12,OCTOBER,10,"22,23"
0713,07,13,JUNE,6,"9,10"
0713,07,13,JULY,7,"24,27"
0713,07,13,SEPTEMBER,9,"9,10"
0713,07,13,NOVEMBER,11,"26,27"
0714,07,14,JUNE,6,"11,12"
0714,07,14,JULY,7,"28,29"
0714,07,14,SEPTEMBER,9,"11,14"
0714,07,14,OCTOBER,10,"28,29"
0715,07,15,JUNE,6,"15,16"
0715,07,15,JULY,7,"30,31"
0715,07,15,SEPTEMBER,9,"15,16"
0715,07,15,OCTOBER,10,30
0715,07,15,NOVEMBER,11,2
0716,07,16,JUNE,6,"17,18"
0716,07,16,AUGUST,8,"3,4"
0716,07,16,SEPTEMBER,9,"17,18"
0716,07,16,NOVEMBER,11,"3,4"
0801,08,01,MAY,5,"19,20"
0801,08,01,JULY,7,"8,9"
0801,08,01,AUGUST,8,"25,26"
0801,08,01,OCTOBER,10,"14,15"
0802,08,02,MAY,5,"21,22"
0802,08,02,JULY,7,"10,13"
0802,08,02,AUGUST,8,"27,28"
0802,08,02,OCTOBER,10,"16,19"
0803,08,03,MAY,5,"26,27"
0803,08,03,JULY,7,"14,15"
0803,08,03,AUGUST,8,31
0803,08,03,SEPTEMBER,9,1
0803,08,03,OCTOBER,10,"20,21"
0804,08,04,MAY,5,"28,29"
0804,08,04,JULY,7,"16,17"
0804,08,04,SEPTEMBER,9,"2,3"
0804,08,04,OCTOBER,10,"22,23"
0805,08,05,JUNE,6,"1,2"
0805,08,05,JULY,7,"20,21"
0805,08,05,SEPTEMBER,9,"4,8"
0805,08,05,OCTOBER,10,"26,27"
0806,08,06,JUNE,6,"3,4"
0806,08,06,JULY,7,"22,23"
0806,08,06,SEPTEMBER,9,"9,10"
0806,08,06,OCTOBER,10,"28,29"
0807,08,07,JUNE,6,"5,8"
0807,08,07,JULY,7,"24,27"
0807,08,07,SEPTEMBER,9,"11,14"
0807,08,07,OCTOBER,10,30
0807,08,07,NOVEMBER,11,1
0808,08,08,JUNE,6,"9,10"
0808,08,08,JULY,7,"28,29"
0808,08,08,SEPTEMBER,9,"15,16"
0808,08,08,NOVEMBER,11,"3,4"
0809,08,09,JUNE,6,"11,12"
0809,08,09,JULY,7,"30,31"
0809,08,09,SEPTEMBER,9,"17,18"
0809,08,09,NOVEMBER,11,"5,6"
0810,08,10,JUNE,6,"15,16"
0810,08,10,AUGUST,8,"3,4"
0810,08,10,SEPTEMBER,9,"21,22"
0810,08,10,NOVEMBER,11,"9,10"
0811,08,11,JUNE,6,"17,18"
0811,08,11,AUGUST,8,"5,6"
0811,08,11,SEPTEMBER,9,"23,24"
0811,08,11,NOVEMBER,11,"11,12"
0812,08,12,JUNE,6,"19,22"
0812,08,12,AUGUST,8,"7,10"
0812,08,12,SEPTEMBER,9,"25,28"
0812,08,12,NOVEMBER,11,"13,16"
0813,08,13,JUNE,6,"23,24"
0813,08,13,AUGUST,8,"11,12"
0813,08,13,SEPTEMBER,9,"29,30"
0813,08,13,NOVEMBER,11,"17,18"
0814,08,14,JUNE,6,"25,26"
0814,08,14,AUGUST,8,"13,14"
0814,08,14,OCTOBER,10,"1,2"
0814,08,14,NOVEMBER,11,"19,20"
0815,08,15,JUNE,6,"29,30"
0815,08,15,AUGUST,8,"17,18"
0815,08,15,OCTOBER,10,"5,6"
0816,08,16,JULY,7,"1,2"
0816,08,16,AUGUST,8,"19,20"
0816,08,16,OCTOBER,10,"7,8"
0817,08,17,MAY,5,18
0817,08,17,JULY,7,"6,7"
0817,08,17,AUGUST,8,"21,24"
0817,08,17,OCTOBER,10,"9,13"
0817,08,17,NOVEMBER,11,30
0901,09,01,MAY,5,"18,19"
0901,09,01,JUNE,6,"16,17"
0901,09,01,AUGUST,8,"14,17"
0901,09,01,OCTOBER,10,"15,16"
0902,09,02,MAY,5,"20,21"
0902,09,02,JUNE,6,"18,19"
0902,09,02,AUGUST,8,"18,19"
0902,09,02,OCTOBER,10,"19,20"
0903,09,03,MAY,5,"22,26"
0903,09,03,JUNE,6,"22,23"
0903,09,03,AUGUST,8,"20,21"
0903,09,03,OCTOBER,10,"21,22"
0904,09,04,MAY,5,"27,28"
0904,09,04,JUNE,6,"24,25"
0904,09,04,AUGUST,8,"24,25"
0904,09,04,OCTOBER,10,"23,26"
0905,09,05,MAY,5,29
0905,09,05,JUNE,6,"1,26,29"
0905,09,05,AUGUST,8,"26,27"
0905,09,05,OCTOBER,10,"27,28"
0906,09,06,JUNE,6,30
0906,09,06,JULY,7,1
0906,09,06,AUGUST,8,"28,31"
0906,09,06,OCTOBER,10,"29,30"
0907,09,07,JULY,7,"2,6"
0907,09,07,SEPTEMBER,9,"1,2"
0907,09,07,NOVEMBER,11,"2,3"
0908,09,08,JULY,7,"7,8"
0908,09,08,SEPTEMBER,9,"3,4"
0908,09,08,NOVEMBER,11,"4,5"
0909,09,09,JULY,7,"9,10"
0909,09,09,SEPTEMBER,9,"8,9"
0909,09,09,NOVEMBER,11,"6,9"
0910,09,10,JULY,7,"13,14"
0910,09,10,SEPTEMBER,9,"10,11"
0910,09,10,NOVEMBER,11,"10,11"
0911,09,11,JULY,7,"15,16"
0911,09,11,SEPTEMBER,9,"14,15"
0911,09,11,NOVEMBER,11,"12,13"
0912,09,12,JULY,7,"17,20"
0912,09,12,SEPTEMBER,9,"16,17"
0912,09,12,NOVEMBER,11,"16,17"
0913,09,13,JULY,7,"21,22"
0913,09,13,SEPTEMBER,9,"18,21"
0913,09,13,NOVEMBER,11,"18,19"
0914,09,14,JULY,7,"23,24"
0914,09,14,SEPTEMBER,9,"22,23"
0915,09,15,JULY,7,"27,28"
0915,09,15,SEPTEMBER,9,"24,25"
0916,09,16,JULY,7,"29,30"
0916,09,16,SEPTEMBER,9,"28,29"
0917,09,17,JUNE,6,"2,3"
0917,09,17,JULY,7,31
0917,09,17,AUGUST,8,3
0917,09,17,SEPTEMBER,9,30
0917,09,17,OCTOBER,10,1
0918,09,18,JUNE,6,"4,5"
0918,09,18,AUGUST,8,"4,5"
0918,09,18,OCTOBER,10,"2,5"
0919,09,19,JUNE,6,"8,9"
0919,09,19,AUGUST,8,"6,7"
0919,09,19,OCTOBER,10,"6,7"
0920,09,20,JUNE,6,"10,11"
0920,09,20,AUGUST,8,"10,11"
0920,09,20,OCTOBER,10,"8,9"
0921,09,21,JUNE,6,"12,15"
0921,09,21,AUGUST,8,"12,13"
0921,09,21,OCTOBER,10,"13,14"
1001,10,01,MAY,5,"19,20"
1001,10,01,JULY,7,"8,9"
1001,10,01,AUGUST,8,"25,26"
1001,10,01,OCTOBER,10,"14,15"
1002,10,02,MAY,5,"21,22"
1002,10,02,JULY,7,"10,13"
1002,10,02,AUGUST,8,"27,28"
1002,10,02,OCTOBER,10,"16,19"
1003,10,03,MAY,5,"26,27"
1003,10,03,JULY,7,"14,15"
1003,10,03,AUGUST,8,31
1003,10,03,SEPTEMBER,9,1
1003,10,03,OCTOBER,10,"20,21"
1004,10,04,MAY,5,"28,29"
1004,10,04,JULY,7,"16,17"
1004,10,04,SEPTEMBER,9,"2,3"
1004,10,04,OCTOBER,10,"22,23"
1005,10,05,JUNE,6,"1,2"
1005,10,05,JULY,7,"20,21"
1005,10,05,SEPTEMBER,9,"4,8"
1005,10,05,OCTOBER,10,"26,27"
1006,10,06,JUNE,6,"3,4"
1006,10,06,JULY,7,"22,23"
1006,10,06,SEPTEMBER,9,"9,10"
1006,10,06,OCTOBER,10,"28,29"
1007,10,07,JUNE,6,"5,8"
1007,10,07,JULY,7,"24,27"
1007,10,07,SEPTEMBER,9,"11,14"
1007,10,07,OCTOBER,10,30
1007,10,07,NOVEMBER,11,2
1008,10,08,JUNE,6,"9,10"
1008,10,08,JULY,7,"28,29"
1008,10,08,SEPTEMBER,9,"15,16"
1008,10,08,NOVEMBER,11,"3,4"
1009,10,09,JUNE,6,"11,12"
1009,10,09,JULY,7,"30,31"
1009,10,09,SEPTEMBER,9,"17,18"
1009,10,09,NOVEMBER,11,"5,6"
1010,10,10,JUNE,6,"15,16"
1010,10,10,AUGUST,8,"3,4"
1010,10,10,SEPTEMBER,9,"21,22"
1010,10,10,NOVEMBER,11,"9,10"
1011,10,11,JUNE,6,"17,18"
1011,10,11,AUGUST,8,"5,6"
1011,10,11,SEPTEMBER,9,"23,24"
1011,10,11,NOVEMBER,11,"11,12"
1012,10,12,JUNE,6,"19,22"
1012,10,12,AUGUST,8,"7,10"
1012,10,12,SEPTEMBER,9,"25,28"
1012,10,12,NOVEMBER,11,"13,16"
1013,10,13,JUNE,6,"23,24"
1013,10,13,AUGUST,8,"11,12"
1013,10,13,SEPTEMBER,9,"29,30"
1013,10,13,NOVEMBER,11,"17,18"
1014,10,14,JUNE,6,"25,26"
1014,10,14,AUGUST,8,"13,14"
1014,10,14,OCTOBER,10,"1,2"
1014,10,14,NOVEMBER,11,"19,20"
1015,10,15,JUNE,6,"29,30"
1015,10,15,AUGUST,8,"17,18"
