WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0301,03,01,JUNE,6,"27,28"
0301,03,01,AUGUST,8,"9,10"
0301,03,01,SEPTEMBER,9,"21,22"
0301,03,01,NOVEMBER,11,"2,3"
0302,03,02,APRIL,4,"5,6"
0302,03,02,MAY,5,"17,18"
0302,03,02,JUNE,6,"29,30"
0302,03,02,AUGUST,8,"11,12"
0302,03,02,SEPTEMBER,9,"23,26"
0302,03,02,NOVEMBER,11,"4,7"
0303,03,03,APRIL,4,"7,8"
0303,03,03,MAY,5,"19,20"
0303,03,03,JULY,7,"1,5"
0303,03,03,AUGUST,8,"15,16"
0303,03,03,SEPTEMBER,9,"27,28"
0303,03,03,NOVEMBER,11,"8,9"
0304,03,04,APRIL,4,"11,12"
0304,03,04,MAY,5,"23,24"
0304,03,04,JULY,7,"6,7"
0304,03,04,AUGUST,8,"17,18"
0304,03,04,SEPTEMBER,9,"29,30"
0304,03,04,NOVEMBER,11,"10,11"
0305,03,05,APRIL,4,"13,14"
0305,03,05,MAY,5,"25,26"
0305,03,05,JULY,7,"8,11"
0305,03,05,AUGUST,8,"19,22"
0305,03,05,OCTOBER,10,"3,4"
0305,03,05,NOVEMBER,11,"14,15"
0306,03,06,APRIL,4,"15,18"
0306,03,06,MAY,5,"27,31"
0306,03,06,JULY,7,"12,13"
0306,03,06,AUGUST,8,"23,24"
0306,03,06,OCTOBER,10,"5,6"
0306,03,06,NOVEMBER,11,"16,17"
0307,03,07,APRIL,4,"19,20"
0307,03,07,JUNE,6,"1,2"
0307,03,07,JULY,7,"14,15"
0307,03,07,AUGUST,8,"25,26"
0307,03,07,OCTOBER,10,"7,10"
0307,03,07,NOVEMBER,11,18
0308,03,08,APRIL,4,"21,22"
0308,03,08,JUNE,6,"3,6"
0308,03,08,JULY,7,"18,19"
0308,03,08,AUGUST,8,"9,30"
0308,03,08,OCTOBER,10,"11,12"
0309,03,09,APRIL,4,"25,26"
0309,03,09,JUNE,6,"7,8"
0309,03,09,JULY,7,"20,21"
0309,03,09,AUGUST,8,31
0309,03,09,SEPTEMBER,9,1
0309,03,09,OCTOBER,10,"13,14"
0310,03,10,APRIL,4,"27,28"
0310,03,10,JUNE,6,"9,10"
0310,03,10,JULY,7,"22,25"
0310,03,10,SEPTEMBER,9,"2,6"
0310,03,10,OCTOBER,10,"17,18"
0311,03,11,APRIL,4,29
0311,03,11,MAY,5,2
0311,03,11,JUNE,6,"13,14"
0311,03,11,JULY,7,"26,27"
0311,03,11,SEPTEMBER,9,"7,8"
0311,03,11,OCTOBER,10,"19,20"
0312,03,12,MAY,5,"3,4"
0312,03,12,JUNE,6,"15,16"
0312,03,12,JULY,7,"28,29"
0312,03,12,SEPTEMBER,9,"9,12"
0312,03,12,OCTOBER,10,"21,24"
0313,03,13,MAY,5,"5,6"
0313,03,13,JUNE,6,"17,20"
0313,03,13,AUGUST,8,"1,2"
0313,03,13,SEPTEMBER,9,"13,14"
0313,03,13,OCTOBER,10,"25,26"
0314,03,14,MAY,5,"9,10"
0314,03,14,JUNE,6,"21,22"
0314,03,14,AUGUST,8,"1,2"
0314,03,14,SEPTEMBER,9,"13,14"
0314,03,14,OCTOBER,10,"25,26"
0315,03,15,MAY,5,"11,12"
0315,03,15,JUNE,6,"23,24"
0315,03,15,AUGUST,8,"5,8"
0315,03,15,SEPTEMBER,9,"19,20"
0315,03,15,NOVEMBER,11,1
0401,04,01,APRIL,4,"1,4"
0401,04,01,MAY,5,"13,16"
0401,04,01,JUNE,6,"29,30"
0401,04,01,AUGUST,8,"15,16"
0401,04,01,SEPTEMBER,9,"29,30"
0401,04,01,NOVEMBER,11,"15,16"
0402,04,02,APRIL,4,"5,6"
0402,04,02,MAY,5,"17,18"
0402,04,02,JULY,7,"6,7"
0402,04,02,AUGUST,8,"17,18"
0402,04,02,OCTOBER,10,"3,4"
0402,04,02,NOVEMBER,11,"17,18"
0403,04,03,APRIL,4,"7,8"
0403,04,03,MAY,5,"19,20"
0403,04,03,JULY,7,"8,11"
0403,04,03,AUGUST,8,"19,22"
0403,04,03,OCTOBER,10,"5,6"
0404,04,04,APRIL,4,"11,12"
0404,04,04,MAY,5,"23,24"
0404,04,04,JULY,7,"12,13"
0404,04,04,AUGUST,8,"23,24"
0404,04,04,OCTOBER,10,"12,13"
0405,04,05,APRIL,4,"13,14"
0405,04,05,MAY,5,"25,26"
0405,04,05,JULY,7,"14,15"
0405,04,05,AUGUST,8,"25,26"
0405,04,05,OCTOBER,10,"14,17"
0406,04,06,APRIL,4,"15,18"
0406,04,06,JULY,7,"14,15"
0406,04,06,AUGUST,8,"25,26"
0406,04,06,OCTOBER,10,"14,17"
0407,04,07,APRIL,4,"19,20"
0407,04,07,JUNE,6,"3,6"
0407,04,07,JULY,7,"20,21"
0407,04,07,AUGUST,8,31
0407,04,07,SEPTEMBER,9,1
0407,04,07,OCTOBER,10,"20,21"
0408,04,08,APRIL,4,"21,22"
0408,04,08,JUNE,6,"7,8"
0408,04,08,JULY,7,"22,25"
0408,04,08,SEPTEMBER,9,"7,8"
0408,04,08,OCTOBER,10,"24,25"
0409,04,09,APRIL,4,"25,26"
0409,04,09,JUNE,6,"9,10"
0409,04,09,JULY,7,"26,27"
0409,04,09,SEPTEMBER,9,"9,12"
0409,04,09,OCTOBER,10,"26,27"
0410,04,10,APRIL,4,"27,28"
0410,04,10,JUNE,6,"13,14"
0410,04,10,JULY,7,"28,29"
0410,04,10,SEPTEMBER,9,"13,14"
0410,04,10,OCTOBER,10,"28,31"
0411,04,11,APRIL,4,29
0411,04,11,MAY,5,2
0411,04,11,JUNE,6,"15,16"
0411,04,11,AUGUST,8,"1,2"
0411,04,11,SEPTEMBER,9,"15,16"
0411,04,11,NOVEMBER,11,"1,2"
0412,04,12,MAY,5,"3,4"
0412,04,12,JUNE,6,"17,20"
0412,04,12,JULY,7,"3,4"
0412,04,12,AUGUST,8,"19,20"
0413,04,13,MAY,5,"5,6"
0413,04,13,JUNE,6,"21,22"
0413,04,13,SEPTEMBER,9,"21,22"
0413,04,13,NOVEMBER,11,"7,8"
0414,04,14,MAY,5,"9,10"
0414,04,14,JUNE,6,"23,24"
0414,04,14,AUGUST,8,"9,10"
0414,04,14,SEPTEMBER,9,"23,26"
0414,04,14,NOVEMBER,11,"9,10"
0415,04,15,MAY,5,"11,12"
0415,04,15,JUNE,6,"27,28"
0415,04,15,AUGUST,8,"11,12"
0415,04,15,SEPTEMBER,9,"27,28"
0415,04,15,NOVEMBER,11,"11,14"
0501,05,01,APRIL,4,"1,4"
0501,05,01,MAY,5,"9,10"
0501,05,01,JUNE,6,"16,17"
0501,05,01,JULY,7,"26,27"
0501,05,01,AUGUST,8,31
0501,05,01,SEPTEMBER,9,1
0501,05,01,OCTOBER,10,"12,13"
0502,05,02,APRIL,4,"5,6"
0502,05,02,MAY,5,"11,12"
0502,05,02,JUNE,6,"20,21"
0502,05,02,JULY,7,"28,29"
0502,05,02,SEPTEMBER,9,"2,7"
0502,05,02,OCTOBER,10,"14,17"
0502,05,02,NOVEMBER,11,"17,18"
0503,05,03,APRIL,4,"7,8"
0503,05,03,MAY,5,"13,16"
0503,05,03,JUNE,6,"22,23"
0503,05,03,AUGUST,8,"1,2"
0503,05,03,SEPTEMBER,9,"8,9"
0503,05,03,OCTOBER,10,"18,19"
0504,05,04,APRIL,4,"11,12"
0504,05,04,MAY,5,"17,18"
0504,05,04,JUNE,6,"24,27"
0504,05,04,AUGUST,8,"3,4"
0504,05,04,SEPTEMBER,9,"12,13"
0504,05,04,OCTOBER,10,"20,21"
0505,05,05,APRIL,4,"13,14"
0505,05,05,MAY,5,"19,20"
0505,05,05,JUNE,6,"28,29"
0505,05,05,AUGUST,8,"5,8"
0505,05,05,SEPTEMBER,9,"14,15"
0505,05,05,OCTOBER,10,"24,25"
0506,05,06,APRIL,4,"15,18"
0506,05,06,MAY,5,"23,24"
0506,05,06,JUNE,6,30
0506,05,06,JULY,7,1
0506,05,06,AUGUST,8,"9,10"
0506,05,06,SEPTEMBER,9,"16,19"
0506,05,06,OCTOBER,10,"26,27"
0507,05,07,APRIL,4,"19,20"
0507,05,07,MAY,5,"25,26"
0507,05,07,JULY,7,"6,7"
0507,05,07,AUGUST,8,"11,12"
0507,05,07,SEPTEMBER,9,"20,21"
0507,05,07,OCTOBER,10,"28,31"
0508,05,08,APRIL,4,"21,22"
0508,05,08,MAY,5,27
0508,05,08,JUNE,6,1
0508,05,08,JULY,7,"8,11"
0508,05,08,AUGUST,8,"15,16"
0508,05,08,SEPTEMBER,9,"22,23"
0508,05,08,NOVEMBER,11,"1,2"
0509,05,09,APRIL,4,"25,26"
0509,05,09,JUNE,6,"2,3"
0509,05,09,JULY,7,"12,13"
0509,05,09,AUGUST,8,"17,18"
0509,05,09,SEPTEMBER,9,"26,27"
0509,05,09,NOVEMBER,11,"3,4"
0510,05,10,APRIL,4,"27,28"
0510,05,10,JUNE,6,"6,7"
0510,05,10,JULY,7,"14,15"
0510,05,10,AUGUST,8,"19,22"
0510,05,10,SEPTEMBER,9,"28,29"
0510,05,10,NOVEMBER,11,"7,8"
0511,05,11,APRIL,4,29
0511,05,11,MAY,5,2
0511,05,11,JUNE,6,"8,9"
0511,05,11,JULY,7,"18,19"
0511,05,11,AUGUST,8,"23,24"
0511,05,11,SEPTEMBER,9,30
0511,05,11,OCTOBER,10,3
0511,05,11,NOVEMBER,11,"9,10"
0512,05,12,MAY,5,"3,4"
0512,05,12,JUNE,6,"10,13"
0512,05,12,JULY,7,"20,21"
0512,05,12,AUGUST,8,"25,26"
0512,05,12,OCTOBER,10,"4,5"
0512,05,12,NOVEMBER,11,"11,14"
0513,05,13,MAY,5,"5,6"
0513,05,13,JUNE,6,"14,15"
0513,05,13,JULY,7,"22,25"
0513,05,13,AUGUST,8,"29,30"
0513,05,13,OCTOBER,10,"6,7"
0513,05,13,NOVEMBER,11,"14,15"
0601,06,01,APRIL,4,"1,4"
0601,06,01,MAY,5,"11,12"
0601,06,01,JUNE,6,"21,22"
0601,06,01,AUGUST,8,"1,2"
0601,06,01,SEPTEMBER,9,"9,12"
0601,06,01,OCTOBER,10,"20,21"
0602,06,02,APRIL,4,"5,6"
0602,06,02,MAY,5,"13,16"
0602,06,02,JUNE,6,"23,24"
0602,06,02,AUGUST,8,"3,4"
0602,06,02,SEPTEMBER,9,"13,14"
0602,06,02,OCTOBER,10,"24,25"
0603,06,03,APRIL,4,"7,8"
0603,06,03,MAY,5,"17,18"
0603,06,03,JUNE,6,"27,28"
0603,06,03,AUGUST,8,"5,8"
0603,06,03,SEPTEMBER,9,"15,16"
0603,06,03,OCTOBER,10,"26,27"
0604,06,04,APRIL,4,"11,12"
0604,06,04,MAY,5,"19,20"
0604,06,04,JUNE,6,"29,30"
0604,06,04,AUGUST,8,"9,10"
0604,06,04,SEPTEMBER,9,"19,20"
0604,06,04,OCTOBER,10,"28,31"
0605,06,05,APRIL,4,"13,14"
0605,06,05,MAY,5,"23,24"
0605,06,05,JULY,7,"1,5"
0605,06,05,AUGUST,8,"11,12"
0605,06,05,SEPTEMBER,9,"21,22"
0605,06,05,NOVEMBER,11,"1,2"
0606,06,06,APRIL,4,"15,18"
0606,06,06,MAY,5,"25,26"
0606,06,06,JULY,7,"6,7"
0606,06,06,AUGUST,8,"15,16"
0606,06,06,SEPTEMBER,9,"23,26"
0606,06,06,NOVEMBER,11,"3,4"
0607,06,07,APRIL,4,"19,20"
0607,06,07,MAY,5,"27,31"
0607,06,07,JULY,7,"8,11"
0607,06,07,AUGUST,8,"17,18"
0607,06,07,SEPTEMBER,9,"27,28"
0607,06,07,NOVEMBER,11,"7,8"
0608,06,08,APRIL,4,"21,22"
0608,06,08,JUNE,6,"1,12"
0608,06,08,JULY,7,"12,13"
0608,06,08,AUGUST,8,"19,22"
0608,06,08,SEPTEMBER,9,"29,30"
0608,06,08,NOVEMBER,11,"9,10"
0609,06,09,APRIL,4,"25,26"
0609,06,09,JUNE,6,"3,6"
0609,06,09,JULY,7,"14,15"
0609,06,09,AUGUST,8,"23,24"
0609,06,09,OCTOBER,10,"3,4"
0609,06,09,NOVEMBER,11,"11,14"
0610,06,10,APRIL,4,"27,28"
0610,06,10,JUNE,6,"7,8"
0610,06,10,JULY,7,"18,19"
0610,06,10,AUGUST,8,"25,26"
0610,06,10,OCTOBER,10,"5,6"
0610,06,10,NOVEMBER,11,"15,16"
0611,06,11,APRIL,4,29
0611,06,11,MAY,5,2
0611,06,11,JUNE,6,"9,10"
0611,06,11,JULY,7,"20,21"
0611,06,11,AUGUST,8,"29,30"
0611,06,11,OCTOBER,10,"7,11"
0611,06,11,NOVEMBER,11,"17,18"
0612,06,12,MAY,5,"3,4"
0612,06,12,JUNE,6,"13,14"
0612,06,12,JULY,7,"22,25"
0612,06,12,AUGUST,8,31
0612,06,12,SEPTEMBER,9,1
0612,06,12,OCTOBER,10,"12,13"
0613,06,13,MAY,5,"5,6"
0613,06,13,JUNE,6,"15,16"
0613,06,13,JULY,7,"26,27"
0613,06,13,SEPTEMBER,9,"2,6"
0613,06,13,OCTOBER,10,"14,17"
0614,06,14,MAY,5,"9,10"
0614,06,14,JUNE,6,"17,20"
0614,06,14,JULY,7,"28,29"
0614,06,14,SEPTEMBER,9,"7,8"
